lon,lat,temp_c,temp_k,frame,hour,minute,time_str,category,wind_mph,center_lon,center_lat,min_temp_c
-79.76490592271588,31.99986370872913,20.863739,294.01373,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-81.08504574784419,31.988601303376466,22.215729,295.36572,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-75.29509216383003,31.957260486593114,3.4110107,276.561,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-78.31369810684733,31.943119252806053,19.388885,292.53888,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-82.78464583965462,31.961737436500254,20.495026,293.64502,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-76.97768254558297,31.91374782569106,18.651428,291.80142,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-82.69360544634868,31.937145426576752,21.048126,294.19812,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-76.88966057272279,31.89009148630275,11.768646,284.91864,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-83.7132479143427,31.927866263736036,20.556488,293.70648,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-77.89490975384523,31.870804896307167,20.679382,293.82938,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-85.79121550422613,31.938580497543843,17.729645,290.87964,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-79.93210522336571,31.86093148235632,22.092804,295.2428,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-88.87538289919644,31.978936666629288,16.070404,289.2204,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-82.93056412958866,31.87011401465861,20.679382,293.82938,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-77.12825946484556,31.82085059023221,20.372131,293.52213,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-86.8671641635109,31.912223823549876,16.684937,289.83493,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-80.98433998821147,31.823925434685552,22.400085,295.55008,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-75.20722854945163,31.79372745477247,8.450195,281.6002,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-85.73655183278177,31.867393930183642,18.221252,291.37125,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
