lon,lat,temp_c,temp_k,frame,hour,minute,time_str,category,wind_mph,center_lon,center_lat,min_temp_c
-79.76490592271588,31.99986370872913,21.662659,294.81265,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-81.08504574784419,31.988601303376466,27.19345,300.34344,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-75.29509216383003,31.957260486593114,18.467072,291.61707,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-78.31369810684733,31.943119252806053,22.031372,295.18137,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-82.78464583965462,31.961737436500254,26.271637,299.42163,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-76.97768254558297,31.91374782569106,-19.695435,253.45456,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-82.69360544634868,31.937145426576752,27.131989,300.28198,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-76.88966057272279,31.89009148630275,-21.354675,251.79532,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-83.7132479143427,31.927866263736036,26.88617,300.03616,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-77.89490975384523,31.870804896307167,17.299469,290.44946,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-85.79121550422613,31.938580497543843,25.226929,298.37692,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-79.93210522336571,31.86093148235632,22.461548,295.61154,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-88.87538289919644,31.978936666629288,24.42804,297.57803,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-82.93056412958866,31.87011401465861,26.763275,299.91327,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-77.12825946484556,31.82085059023221,8.511627,281.66162,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-86.8671641635109,31.912223823549876,24.858215,298.0082,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-80.98433998821147,31.823925434685552,22.215729,295.36572,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-75.20722854945163,31.79372745477247,18.897247,292.04724,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-85.73655183278177,31.867393930183642,25.288391,298.4384,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-79.88385850192729,31.790497647712556,22.031372,295.18137,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-91.43160412462728,31.97313608872899,28.668335,301.81833,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-85.3967428417761,31.837992633508208,26.3331,299.4831,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-79.55352922413468,31.764544683958654,21.293915,294.4439,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-91.87161397724067,31.961836804150217,23.997864,297.14786,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-85.81995951215924,31.822151915412007,25.288391,298.4384,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-79.9687128623715,31.744562642640293,19.450317,292.6003,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-93.09331929793277,31.973738567388047,22.768799,295.9188,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-86.9885105742038,31.821080505363895,24.18222,297.3322,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-81.10925418724095,31.73188322257236,23.383331,296.53333,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-75.33771558615084,31.700560452891928,19.327423,292.47742,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-88.85007644053957,31.83782445638518,26.08728,299.23727,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-82.91647699382344,31.729860699054466,27.562164,300.71216,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-77.12452327886685,31.680980615019607,18.71289,291.86288,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-91.06153231301491,31.86937834746248,23.567688,296.71768,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-85.04878080787292,31.73863201789864,26.3331,299.4831,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-79.21994367473653,31.668882902089187,17.85254,291.00253,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-93.31374124130014,31.909951389911956,27.131989,300.28198,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-87.20381561974062,31.75534101263036,25.042572,298.19257,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-81.3237448302324,31.664227979434493,24.42804,297.57803,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-75.55512073384416,31.630897650695633,19.696136,292.84613,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-89.38751315424948,31.780286560033932,24.42804,297.57803,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-83.44087358962993,31.667126724600614,26.578918,299.7289,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-77.64573525047011,31.61325924376427,12.751923,285.90192,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-91.60642248195207,31.81386230345631,30.266113,303.4161,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-85.57653852388381,31.67776072017102,27.254883,300.40488,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-79.74111219111062,31.60299300748332,22.031372,295.18137,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-93.8917546313648,31.857295090835414,21.72409,294.87408,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-87.75898627087257,31.696851454810737,27.377808,300.5278,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-81.86807817747564,31.600418379751314,28.729767,301.87976,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-76.09848494734926,31.56190268604433,15.947479,289.09747,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-89.9722983785898,31.724417358231577,26.08728,299.23727,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-84.0099800868287,31.605571640907506,27.623627,300.77362,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-78.21001850672833,31.54629733153605,11.891571,285.04156,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-92.22340889649011,31.7608824681505,23.383331,296.53333,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-86.17226398400472,31.618651260449614,25.165497,298.3155,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-80.32773167919603,31.538202708290633,21.908447,295.05844,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-94.52013288722912,31.806780778022542,25.472748,298.62274,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-88.36077641666573,31.63992819938968,25.78003,298.93002,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-82.45661497727417,31.537706814808168,29.3443,302.4943,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-76.68456679796475,31.493600678631655,20.740845,293.89084,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-90.60505404954769,31.670351319440602,24.735321,297.8853,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-84.62412501873789,31.54531536336472,27.254883,300.40488,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-78.81746900568245,31.4802093365329,7.036743,280.18674,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-92.89001239700525,31.70996890330799,22.830261,295.98026,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-86.81406546913092,31.561057615854462,24.919678,298.06967,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-80.95812524198176,31.474477345590422,22.830261,295.98026,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-75.20632725982398,31.444860895857573,7.712738,280.86273,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-89.03260219950553,31.58523551267347,24.612396,297.7624,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-83.1117266092257,31.476513452721104,26.88617,300.03616,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-77.3351628817845,31.426194336808795,20.249207,293.3992,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-91.28652038060362,31.6182402882718,24.98111,298.1311,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-85.28371445701688,31.486491680521848,27.070526,300.22052,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-79.46823502961475,31.4151214356724,17.115112,290.2651,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-93.60717922010753,31.661290823785908,25.53421,298.6842,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-87.50249480982647,31.50512428804049,24.858215,298.0082,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-81.63255365848234,31.411949535099602,25.902924,299.05292,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-75.87890127296889,31.37593675933131,18.897247,292.04724,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-89.75250018072829,31.532450397788786,26.210205,299.3602,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-83.81178221242561,31.416726330243694,26.824738,299.97473,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-78.02863773961751,31.359777889138112,18.897247,292.04724,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-92.04095685419995,31.568904258064226,23.014618,296.1646,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-86.01162491151635,31.42965334910305,25.902924,299.05292,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-80.18437089713923,31.351356898513806,21.17102,294.321,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-94.3999322452176,31.615788126396552,26.3331,299.4831,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-88.26089980254605,31.451501467546134,25.165497,298.3155,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-82.37334206591885,31.351027731052778,27.43927,300.58926,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-76.6156089566757,31.308008267045356,20.61795,293.76794,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-90.54440099087645,31.482330967849688,25.288391,298.4384,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-84.5794586041058,31.358846029193014,28.54541,301.6954,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-78.78693947263339,31.29462766673344,7.405487,280.55548,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-92.8698505980107,31.5226230929038,26.3331,299.4831,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-86.80871353018883,31.375042147399967,24.796753,297.94675,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-80.96625722040831,31.289139653737767,23.137512,296.2875,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-75.2275235136361,31.2596192354573,-2.3656006,270.7844,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-89.06760503200049,31.399932414235433,29.528656,302.67865,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-83.1590367892858,31.29165853731762,26.455994,299.606,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-77.39489828401449,31.241223904128333,20.802307,293.9523,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-91.3865159570964,31.4345501272955,24.489502,297.6395,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-85.39329280691798,31.302749902341994,29.159943,302.30994,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-79.58861612471777,31.230821202544597,21.355377,294.50537,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-93.75128556085903,31.47899971947624,23.198975,296.34897,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-87.65348570453801,31.322466874116248,25.104034,298.25403,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-81.79251198525614,31.22847774429109,22.031372,295.18137,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-76.05013926568509,31.19116763178601,17.238007,290.388,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-89.94652816211023,31.351171876986502,24.858215,298.0082,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-84.01230584423298,31.234340116447658,28.115234,301.26523,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-78.23871560943125,31.175858154563645,17.914001,291.064,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-92.28009449126145,31.389323337085727,24.489502,297.6395,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-86.2540362045622,31.248620680055947,28.176697,301.3267,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-80.43405560436798,31.168524422283642,22.154266,295.30426,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-94.68682478373947,31.43827342320946,23.752045,296.90204,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-88.54690607822864,31.272123486206745,24.735321,297.8853,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-82.66368527783219,31.169543928593175,27.685059,300.83505,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-76.91502694975323,31.124042820819653,19.81903,292.96902,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-90.87619043604033,31.30493453233577,24.489502,297.6395,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-84.91188916563608,31.17898294942495,27.930878,301.08087,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-79.12572745707602,31.11201634203627,20.249207,293.3992,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-93.2501662439017,31.347575706748472,24.059326,297.20932,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-87.18504896582272,31.197095295030778,25.718567,298.86856,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-81.34559776770394,31.10813333543734,22.215729,295.36572,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-75.61618029247458,31.075200570373163,-5.684082,267.4659,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-89.49011128605727,31.224225125354735,25.472748,298.62274,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-83.58044658192102,31.112523018604197,26.271637,299.42163,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-77.82250030316301,31.05841549262034,21.601196,294.7512,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-91.85802669976086,31.26146598426511,26.455994,299.606,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-85.85866376019965,31.12579483388625,28.176697,301.3267,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-80.0564101821656,31.049886187727505,18.897247,292.04724,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-94.27529476798074,31.308961008258862,24.673859,297.82385,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-88.16518015781595,31.1480180695581,24.858215,298.0082,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
-82.30212396954539,31.049681193335125,21.17102,294.321,9,16,30,16:30,4,140,-85.83028581996076,23.57353420435289,-79.79678344726562
